PassengerId,Survived,fSex,fEmbarked,Pclass,Age,SibSp,Parch,Fare,name_title,name_word_length,name_char_length,cabin_first_letter,ticket_category
53,1,female,C,1,49,1,0,76.7292,Mrs.,4,18,D,PC
54,1,female,S,2,29,1,0,26,Mrs.,3,16,n,digit
55,0,male,C,1,65,0,1,61.9792,Mr.,3,23,B,digit
56,1,male,S,1,42,0,0,35.5,Mr.,2,11,C,digit
57,1,female,S,2,21,0,0,10.5,Miss.,2,9,n,CA
58,0,male,C,3,28.5,0,0,7.2292,Mr.,2,13,n,digit
59,1,female,S,2,5,1,2,27.75,Miss.,3,19,n,CA
60,0,male,S,3,11,5,2,46.9,Master.,3,23,n,CA
61,0,male,C,3,22,0,0,7.2292,Mr.,2,15,n,digit
62,1,female,S,1,38,0,0,80,Miss.,2,11,B,digit
63,0,male,S,1,45,1,0,83.475,Mr.,3,20,C,digit
64,0,male,S,3,4,3,2,27.9,Master.,2,11,n,digit
65,0,male,C,1,46,0,0,27.7208,Mr.,3,14,n,PC
66,1,male,C,3,13,1,1,15.2458,Master.,2,14,n,digit
67,1,female,S,2,29,0,0,10.5,Mrs.,2,3,o,CA
68,0,male,S,3,19,0,0,8.1583,Mr.,3,17,n,other
69,1,female,S,3,17,4,2,7.925,Miss.,3,22,n,digit
70,0,male,S,3,26,2,0,8.6625,Mr.,2,11,n,digit
71,0,male,S,2,32,0,0,10.5,Mr.,3,19,n,CA
72,0,female,S,3,16,5,2,46.9,Miss.,3,17,n,CA
73,0,male,S,2,21,0,0,73.5,Mr.,3,13,n,SOC
74,0,male,C,3,26,1,0,14.4542,Mr.,2,21,n,digit
75,1,male,S,3,32,0,0,56.4958,Mr.,2,7,n,digit
76,0,male,S,3,25,0,0,7.65,Mr.,3,16,o,digit
77,0,male,S,3,45,0,0,7.8958,Mr.,2,11,n,digit
78,0,male,S,3,28,0,0,8.05,Mr.,3,17,n,digit
79,1,male,S,2,0.83,0,2,29,Master.,3,18,n,digit
80,1,female,S,3,30,0,0,12.475,Miss.,2,16,n,digit
81,0,male,S,3,22,0,0,9,Mr.,2,14,n,digit
82,1,male,S,3,29,0,0,9.5,Mr.,3,20,n,digit
83,1,female,Q,3,4,0,0,7.7875,Miss.,3,21,n,digit
84,0,male,S,1,28,0,0,47.1,Mr.,3,16,n,digit
85,1,female,S,2,17,0,0,10.5,Miss.,2,11,n,other
86,1,female,S,3,33,3,0,15.85,Mrs.,4,19,n,digit
87,0,male,S,3,16,1,3,34.375,Mr.,3,15,n,W/C
88,0,male,S,3,24,0,0,8.05,Mr.,3,22,n,SOTON/OQ
89,1,female,S,1,23,3,2,263,Miss.,3,17,C,digit
90,0,male,S,3,24,0,0,8.05,Mr.,2,16,n,digit
91,0,male,S,3,29,0,0,8.05,Mr.,2,14,n,digit
92,0,male,S,3,20,0,0,7.8542,Mr.,3,19,n,digit
93,0,male,S,1,46,1,0,61.175,Mr.,3,20,E,other
94,0,male,S,3,26,1,2,20.575,Mr.,3,16,n,CA
95,0,male,S,3,59,0,0,7.25,Mr.,2,11,n,digit
96,0,male,S,3,30,0,0,8.05,Mr.,3,20,n,digit
97,0,male,C,1,71,0,0,34.6542,Mr.,3,18,o,PC
98,1,male,C,1,23,0,1,63.3583,Mr.,3,24,D,PC
99,1,female,S,2,34,0,1,23,Mrs.,4,11,n,digit
100,0,male,S,2,34,1,0,26,Mr.,2,11,n,digit
101,0,female,S,3,28,0,0,7.8958,Miss.,2,15,n,digit
102,0,male,S,3,36,0,0,7.8958,Mr.,3,14,n,digit
103,0,male,S,1,21,0,1,77.2875,Mr.,3,18,D,digit
104,0,male,S,3,33,0,0,8.6542,Mr.,3,19,n,digit
105,0,male,S,3,37,2,0,7.925,Mr.,3,23,n,digit
106,0,male,S,3,28,0,0,7.8958,Mr.,2,15,n,digit
107,1,female,S,3,21,0,0,7.65,Miss.,3,23,n,digit
108,1,male,S,3,32,0,0,7.775,Mr.,3,15,n,digit
109,0,male,S,3,38,0,0,7.8958,Mr.,2,9,n,digit
110,1,female,Q,3,35,1,0,24.15,Miss.,2,11,n,digit
111,0,male,S,1,47,0,0,52,Mr.,3,23,C,digit
112,0,female,C,3,14.5,1,0,14.4542,Miss.,2,12,n,digit
113,0,male,S,3,22,0,0,8.05,Mr.,3,15,n,digit
114,0,female,S,3,20,1,0,9.825,Miss.,2,15,n,digit
115,0,female,C,3,17,0,0,14.4583,Miss.,2,13,n,digit
116,0,male,S,3,21,0,0,7.925,Mr.,2,15,n,STON/O 2
117,0,male,Q,3,70.5,0,0,7.75,Mr.,2,14,n,digit
118,0,male,S,2,29,1,0,21,Mr.,4,23,n,digit
119,0,male,C,1,24,0,1,247.5208,Mr.,3,17,B,PC
120,0,female,S,3,2,4,2,31.275,Miss.,4,23,n,digit
121,0,male,S,2,21,2,0,73.5,Mr.,3,20,n,SOC
122,0,male,S,3,28,0,0,8.05,Mr.,3,19,n,other
123,0,male,C,2,32.5,1,0,30.0708,Mr.,2,14,n,digit
124,1,female,S,2,32.5,0,0,13,Miss.,2,11,E,digit
125,0,male,S,1,54,0,1,77.2875,Mr.,3,20,D,digit
126,1,male,C,3,12,1,0,11.2417,Master.,2,18,n,digit
127,0,male,Q,3,54,0,0,7.75,Mr.,2,13,n,digit
128,1,male,S,3,24,0,0,7.1417,Mr.,3,18,n,C
129,1,female,C,3,5,1,1,22.3583,Miss.,2,9,o,digit
130,0,male,S,3,45,0,0,6.975,Mr.,2,12,n,digit
131,0,male,C,3,33,0,0,7.8958,Mr.,2,14,n,digit
132,0,male,S,3,20,0,0,7.05,Mr.,3,23,n,SOTON/OQ
133,0,female,S,3,47,1,0,14.5,Mrs.,4,16,n,A/5
134,1,female,S,2,29,1,0,26,Mrs.,3,12,n,digit
135,0,male,S,2,25,0,0,13,Mr.,4,22,n,CA
136,0,male,C,2,23,0,0,15.0458,Mr.,2,12,n,SC/PARIS
137,1,female,S,1,19,0,2,26.2833,Miss.,3,19,D,digit
138,0,male,S,1,37,1,0,53.1,Mr.,3,20,C,digit
139,0,male,S,3,16,0,0,9.2167,Mr.,3,12,n,digit
140,0,male,C,1,24,0,0,79.2,Mr.,2,12,B,PC
141,0,female,C,3,16,0,2,15.2458,Mrs.,3,12,n,digit
142,1,female,S,3,22,0,0,7.75,Miss.,3,15,n,digit
143,1,female,S,3,24,1,0,15.85,Mrs.,4,23,n,STON/O2
144,0,male,Q,3,19,0,0,6.75,Mr.,2,13,n,digit
145,0,male,S,2,18,0,0,11.5,Mr.,3,19,n,digit
146,0,male,S,2,19,1,1,36.75,Mr.,3,21,n,CA
147,1,male,S,3,27,0,0,7.7958,Mr.,4,21,n,digit
148,0,female,S,3,9,2,2,34.375,Miss.,4,22,n,W/C
149,0,male,S,2,36.5,0,2,26,Mr.,3,14,o,digit
150,0,male,S,2,42,0,0,13,Rev.,4,24,n,digit
151,0,male,S,2,51,0,0,12.525,Rev.,3,18,n,other
152,1,female,S,1,22,1,0,66.6,Mrs.,3,11,C,digit
153,0,male,S,3,55.5,0,0,8.05,Mr.,2,10,n,other
154,0,male,S,3,40.5,0,2,14.5,Mr.,4,23,n,A/5
155,0,male,S,3,25,0,0,7.3125,Mr.,3,14,n,other
156,0,male,C,1,51,0,1,61.3792,Mr.,3,20,n,PC
157,1,female,Q,3,16,0,0,7.7333,Miss.,3,23,n,digit
158,0,male,S,3,30,0,0,8.05,Mr.,2,9,n,SOTON/OQ
159,0,male,S,3,43,0,0,8.6625,Mr.,2,13,n,digit
160,0,male,S,3,3,8,2,69.55,Master.,3,15,n,CA
161,0,male,S,3,44,0,1,16.1,Mr.,3,17,n,digit
162,1,female,S,2,40,0,0,15.75,Mrs.,3,9,n,CA
163,0,male,S,3,26,0,0,7.775,Mr.,3,19,n,digit
164,0,male,S,3,17,0,0,8.6625,Mr.,2,9,n,digit
165,0,male,S,3,1,4,1,39.6875,Master.,3,17,n,digit
166,1,male,S,3,9,0,2,20.525,Master.,5,34,n,digit
167,1,female,S,1,44,0,1,55,Mrs.,2,8,E,digit
168,0,female,S,3,45,1,4,27.9,Mrs.,3,12,n,digit
169,0,male,S,1,17,0,0,25.925,Mr.,3,12,n,PC
170,0,male,S,3,28,0,0,56.4958,Mr.,2,7,n,digit
171,0,male,S,1,61,0,0,33.5,Mr.,4,17,B,digit
172,0,male,Q,3,4,4,1,29.125,Master.,2,10,n,digit
173,1,female,S,3,1,1,1,11.1333,Miss.,3,19,n,digit
174,0,male,S,3,21,0,0,7.925,Mr.,3,18,n,STON/O 2
175,0,male,C,1,56,0,0,30.6958,Mr.,3,16,o,digit
176,0,male,S,3,18,1,1,7.8542,Mr.,3,15,n,digit
177,0,male,S,3,12,3,1,25.4667,Master.,3,18,n,digit
178,0,female,C,1,50,0,0,28.7125,Miss.,3,17,C,PC
179,0,male,S,2,30,0,0,13,Mr.,2,12,n,digit
180,0,male,S,3,36,0,0,0,Mr.,2,13,n,other
181,0,female,S,3,1,8,2,69.55,Miss.,3,19,n,CA
182,0,male,C,2,49,0,0,15.05,Mr.,2,10,n,SC/PARIS
183,0,male,S,3,9,4,2,31.3875,Master.,4,25,n,digit
184,1,male,S,2,1,2,1,39,Master.,3,14,o,digit
185,1,female,S,3,4,0,2,22.025,Miss.,3,26,n,digit
186,0,male,S,1,71,0,0,50,Mr.,3,14,o,digit
187,1,female,Q,3,31,1,0,15.5,Mrs.,3,13,n,digit
188,1,male,S,1,45,0,0,26.55,Mr.,4,21,n,digit
189,0,male,Q,3,40,1,1,15.5,Mr.,2,10,n,digit
190,0,male,S,3,36,0,0,7.8958,Mr.,2,13,n,digit
191,1,female,S,2,32,0,0,13,Mrs.,2,6,n,digit
192,0,male,S,2,19,0,0,13,Mr.,2,15,n,digit
193,1,female,S,3,19,1,0,7.8542,Miss.,4,37,n,digit
194,1,male,S,2,3,1,1,26,Master.,3,15,o,digit
195,1,female,C,1,44,0,0,27.7208,Mrs.,4,16,B,PC
196,1,female,C,1,58,0,0,146.5208,Miss.,2,12,B,PC
197,0,male,Q,3,44,0,0,7.75,Mr.,2,13,n,digit
198,0,male,S,3,42,0,1,8.4042,Mr.,4,24,n,digit
199,1,female,Q,3,35,0,0,7.75,Miss.,3,23,n,digit
200,0,female,S,2,24,0,0,13,Miss.,3,14,n,digit
201,0,male,S,3,28,0,0,9.5,Mr.,4,22,n,digit
202,0,male,S,3,30,8,2,69.55,Mr.,2,13,n,CA
203,0,male,S,3,34,0,0,6.4958,Mr.,3,19,n,digit
204,0,male,C,3,45.5,0,0,7.225,Mr.,2,14,n,digit
205,1,male,S,3,18,0,0,8.05,Mr.,3,17,n,A/5
206,0,female,S,3,2,0,1,10.4625,Miss.,3,17,o,digit
207,0,male,S,3,32,1,0,15.85,Mr.,3,19,n,digit
208,1,male,C,3,26,0,0,18.7875,Mr.,3,20,n,digit
209,1,female,Q,3,16,0,0,7.75,Miss.,3,16,n,digit
210,1,male,C,1,40,0,0,31,Mr.,2,10,o,digit
211,0,male,S,3,24,0,0,7.05,Mr.,2,8,n,SOTON/OQ
212,1,female,S,2,35,0,0,21,Miss.,3,17,n,FCC
213,0,male,S,3,22,0,0,7.25,Mr.,3,15,n,A/5
214,0,male,S,2,30,0,0,13,Mr.,3,20,n,digit
215,0,male,Q,3,63,1,0,7.75,Mr.,2,13,n,digit
216,1,female,C,1,31,1,0,113.275,Miss.,2,15,D,digit
217,1,female,S,3,27,0,0,7.925,Miss.,2,14,n,STON/O2
218,0,male,S,2,42,1,0,27,Mr.,3,21,n,digit
219,1,female,C,1,32,0,0,76.2917,Miss.,2,13,D,digit
220,0,male,S,2,30,0,0,10.5,Mr.,2,12,n,W/C
221,1,male,S,3,16,0,0,8.05,Mr.,3,23,n,SOTON/OQ
222,0,male,S,2,27,0,0,13,Mr.,3,13,n,digit
223,0,male,S,3,51,0,0,8.05,Mr.,3,16,n,digit
224,0,male,S,3,35,0,0,7.8958,Mr.,2,14,n,digit
225,1,male,S,1,38,1,0,90,Mr.,3,21,C,digit
226,0,male,S,3,22,0,0,9.35,Mr.,4,20,n,other
227,1,male,S,2,19,0,0,10.5,Mr.,3,18,n,other
228,0,male,S,3,20.5,0,0,7.25,Mr.,4,14,n,A/5
229,0,male,S,2,18,0,0,13,Mr.,3,18,n,digit
230,0,female,S,3,23,3,1,25.4667,Miss.,2,15,n,digit
231,1,female,S,1,35,1,0,83.475,Mrs.,4,20,C,digit
232,0,male,S,3,29,0,0,7.775,Mr.,3,17,n,digit
233,0,male,S,2,59,0,0,13.5,Mr.,3,18,n,digit
234,1,female,S,3,5,4,2,31.3875,Miss.,3,21,n,digit
235,0,male,S,2,24,0,0,10.5,Mr.,4,25,n,CA
236,0,female,S,3,20,0,0,7.55,Miss.,3,19,n,W/C
237,0,male,S,2,44,1,0,26,Mr.,2,11,n,digit
238,1,female,S,2,8,0,2,26.25,Miss.,3,23,n,CA
239,0,male,S,2,19,0,0,10.5,Mr.,3,24,n,digit
240,0,male,S,2,33,0,0,12.275,Mr.,3,15,n,other
241,0,female,C,3,26,1,0,14.4542,Miss.,2,13,n,digit
242,1,female,Q,3,19,1,0,15.5,Miss.,3,21,n,digit
243,0,male,S,2,29,0,0,10.5,Mr.,3,24,n,W/C
244,0,male,S,3,22,0,0,7.125,Mr.,3,22,n,STON/O 2
245,0,male,C,3,30,0,0,7.225,Mr.,2,14,n,digit
246,0,male,Q,1,44,2,0,90,Dr.,3,20,C,digit
247,0,female,S,3,25,0,0,7.775,Miss.,4,27,n,digit
248,1,female,S,2,24,0,2,14.5,Mrs.,3,17,n,digit
249,1,male,S,1,37,1,1,52.5542,Mr.,3,22,D,digit
250,0,male,S,2,54,1,0,26,Rev.,3,21,n,digit
251,0,male,S,3,30,0,0,7.25,Mr.,3,15,n,digit
252,0,female,S,3,29,1,1,10.4625,Mrs.,3,12,o,digit
253,0,male,S,1,62,0,0,26.55,Mr.,3,18,C,digit
254,0,male,S,3,30,1,0,16.1,Mr.,3,17,n,A/5
255,0,female,S,3,41,0,2,20.2125,Mrs.,3,13,n,digit
256,1,female,C,3,29,0,2,15.2458,Mrs.,3,11,n,digit
257,1,female,C,1,65,0,0,79.2,Mrs.,3,22,n,PC
258,1,female,S,1,30,0,0,86.5,Miss.,2,12,B,digit
259,1,female,C,1,35,0,0,512.3292,Miss.,2,8,n,PC
260,1,female,S,2,50,0,1,26,Mrs.,2,7,n,digit
261,0,male,Q,3,46,0,0,7.75,Mr.,2,11,n,digit
262,1,male,S,3,3,4,2,31.3875,Master.,4,21,n,digit
263,0,male,S,1,52,1,1,79.65,Mr.,2,11,E,digit
264,0,male,S,1,40,0,0,0,Mr.,2,15,B,digit
265,0,female,Q,3,19,0,0,7.75,Miss.,2,10,n,digit
266,0,male,S,2,36,0,0,10.5,Mr.,2,11,n,CA
267,0,male,S,3,16,4,1,39.6875,Mr.,3,18,n,digit
268,1,male,S,3,25,1,0,7.775,Mr.,3,17,n,digit
269,1,female,S,1,58,0,1,153.4625,Mrs.,4,21,C,PC
270,1,female,S,1,35,0,0,135.6333,Miss.,2,14,C,PC
271,0,male,S,1,36,0,0,31,Mr.,2,15,n,digit
272,1,male,S,3,25,0,0,0,Mr.,3,21,n,other
273,1,female,S,2,41,0,1,19.5,Mrs.,2,9,n,digit
274,0,male,C,1,37,0,1,29.7,Mr.,3,14,C,PC
275,1,female,Q,3,4,0,0,7.75,Miss.,3,17,n,digit
276,1,female,S,1,63,1,0,77.9583,Miss.,3,24,D,digit
277,0,female,S,3,45,0,0,7.75,Miss.,3,24,n,digit
278,0,male,S,2,26,0,0,0,Mr.,3,20,n,digit
279,0,male,Q,3,7,4,1,29.125,Master.,2,8,n,digit
280,1,female,S,3,35,1,1,20.25,Mrs.,3,13,n,CA
281,0,male,Q,3,65,0,0,7.75,Mr.,2,10,n,digit
282,0,male,S,3,28,0,0,7.8542,Mr.,4,24,n,digit
283,0,male,S,3,16,0,0,9.5,Mr.,3,18,n,digit
284,1,male,S,3,19,0,0,8.05,Mr.,3,19,n,A/5
285,0,male,S,1,24,0,0,26,Mr.,3,19,o,digit
286,0,male,C,3,33,0,0,8.6625,Mr.,2,13,n,digit
287,1,male,S,3,30,0,0,9.5,Mr.,3,16,n,digit
288,0,male,S,3,22,0,0,7.8958,Mr.,2,14,n,digit
289,1,male,S,2,42,0,0,13,Mr.,2,14,n,digit
290,1,female,Q,3,22,0,0,7.75,Miss.,2,12,n,digit
291,1,female,S,1,26,0,0,78.85,Miss.,3,19,n,digit
292,1,female,C,1,19,1,0,91.0792,Mrs.,4,16,B,digit
293,0,male,C,2,36,0,0,12.875,Mr.,3,15,D,other
294,0,female,S,3,24,0,0,8.85,Miss.,2,11,n,digit
295,0,male,S,3,24,0,0,7.8958,Mr.,2,10,n,digit
296,0,male,C,1,46,0,0,27.7208,Mr.,3,10,n,PC
297,0,male,C,3,23.5,0,0,7.2292,Mr.,2,12,n,digit
298,0,female,S,1,2,1,2,151.55,Miss.,3,19,C,digit
299,1,male,S,1,42,0,0,30.5,Mr.,2,15,C,digit
300,1,female,C,1,50,0,1,247.5208,Mrs.,3,11,B,PC
301,1,female,Q,3,21,0,0,7.75,Miss.,5,29,n,digit
302,1,male,Q,3,26,2,0,23.25,Mr.,2,12,n,digit
303,0,male,S,3,19,0,0,0,Mr.,4,23,n,other
304,1,female,Q,2,28,0,0,12.35,Miss.,3,10,E,digit
305,0,male,S,3,27,0,0,8.05,Mr.,4,25,n,A/5
306,1,male,S,1,0.92,1,2,151.55,Master.,3,19,C,digit
307,1,female,C,1,63,0,0,110.8833,Miss.,2,15,n,digit
308,1,female,C,1,17,1,0,108.9,Mrs.,5,32,C,PC
309,0,male,C,2,30,1,0,24,Mr.,2,13,n,other
310,1,female,C,1,30,0,0,56.9292,Miss.,3,21,E,PC
311,1,female,C,1,24,0,0,83.1583,Miss.,3,21,C,digit
312,1,female,C,1,18,2,2,262.375,Miss.,3,17,B,PC
313,0,female,S,2,26,1,1,26,Mrs.,3,15,n,digit
314,0,male,S,3,28,0,0,7.8958,Mr.,2,16,n,digit
315,0,male,S,2,43,1,1,26.25,Mr.,2,12,n,FCC
316,1,female,S,3,26,0,0,7.8542,Miss.,3,22,n,digit
317,1,female,S,2,24,1,0,26,Mrs.,3,11,n,digit
318,0,male,S,2,54,0,0,14,Dr.,2,14,n,digit
319,1,female,S,1,31,0,2,164.8667,Miss.,3,15,C,digit
320,1,female,C,1,40,1,1,134.5,Mrs.,4,21,E,digit
321,0,male,S,3,22,0,0,7.25,Mr.,2,12,n,A/5
322,0,male,S,3,27,0,0,7.8958,Mr.,2,10,n,digit
323,1,female,Q,2,30,0,0,12.35,Miss.,3,16,n,digit
324,1,female,S,2,22,1,1,29,Mrs.,4,21,n,digit
325,0,male,S,3,2,8,2,69.55,Mr.,4,16,n,CA
326,1,female,C,1,36,0,0,135.6333,Miss.,3,15,C,PC
327,0,male,S,3,61,0,0,6.2375,Mr.,3,18,n,digit
328,1,female,S,2,36,0,0,13,Mrs.,2,4,D,digit
329,1,female,S,3,31,1,1,20.525,Mrs.,4,18,n,digit
330,1,female,C,1,16,0,1,57.9792,Miss.,3,19,B,digit
331,1,female,Q,3,2,2,0,23.25,Miss.,2,10,n,digit
332,0,male,S,1,45.5,0,0,28.5,Mr.,2,13,C,digit
333,0,male,S,1,38,0,1,153.4625,Mr.,3,18,C,PC
334,0,male,S,3,16,2,0,18,Mr.,4,23,n,digit
335,1,female,S,1,63,1,0,133.65,Mrs.,4,22,n,PC
336,0,male,S,3,24,0,0,7.8958,Mr.,2,12,n,digit
337,0,male,S,1,29,1,0,66.6,Mr.,3,18,C,digit
338,1,female,C,1,41,0,0,134.5,Miss.,3,22,E,digit
339,1,male,S,3,45,0,0,8.05,Mr.,3,14,n,digit
340,0,male,S,1,45,0,0,35.5,Mr.,3,21,o,digit
341,1,male,S,2,2,1,1,26,Master.,3,19,o,digit
342,1,female,S,1,24,3,2,263,Miss.,3,21,C,digit
343,0,male,S,2,28,0,0,13,Mr.,3,19,n,digit
344,0,male,S,2,25,0,0,13,Mr.,4,34,n,digit
345,0,male,S,2,36,0,0,13,Mr.,3,16,n,digit
346,1,female,S,2,24,0,0,13,Miss.,3,20,o,digit
347,1,female,S,2,40,0,0,13,Miss.,3,16,n,digit
348,1,female,S,3,27,1,0,16.1,Mrs.,4,18,n,digit
349,1,male,S,3,3,1,1,15.9,Master.,4,26,n,CA
350,0,male,S,3,42,0,0,8.6625,Mr.,2,10,n,digit
351,0,male,S,3,23,0,0,9.225,Mr.,3,15,n,digit
352,0,male,S,1,29,0,0,35,Mr.,3,31,C,digit
353,0,male,C,3,15,1,1,7.2292,Mr.,2,12,n,digit
354,0,male,S,3,25,1,0,17.8,Mr.,2,19,n,digit
355,0,male,C,3,25,0,0,7.225,Mr.,2,11,n,digit
356,0,male,S,3,28,0,0,9.5,Mr.,4,19,n,digit
357,1,female,S,1,22,0,1,55,Miss.,3,18,E,digit
358,0,female,S,2,38,0,0,13,Miss.,3,16,n,digit
359,1,female,Q,3,17,0,0,7.8792,Miss.,2,12,n,digit
360,1,female,Q,3,22,0,0,7.8792,Miss.,4,23,n,digit
361,0,male,S,3,40,1,4,27.9,Mr.,2,12,n,digit
362,0,male,C,2,29,1,0,27.7208,Mr.,3,18,n,SC/PARIS
363,0,female,C,3,45,0,1,14.4542,Mrs.,2,7,n,digit
364,0,male,S,3,35,0,0,7.05,Mr.,2,9,n,SOTON/OQ
365,0,male,Q,3,49,1,0,15.5,Mr.,2,13,n,digit
366,0,male,S,3,30,0,0,7.25,Mr.,4,22,n,C
367,1,female,C,1,60,1,0,75.25,Mrs.,4,17,D,digit
368,1,female,C,3,18,0,0,7.2292,Mrs.,2,6,n,digit
369,1,female,Q,3,50,0,0,7.75,Miss.,2,11,n,digit
370,1,female,C,1,24,0,0,69.3,Mrs.,3,21,B,PC
371,1,male,C,1,25,1,0,55.4417,Mr.,3,20,E,digit
372,0,male,S,3,18,1,0,6.4958,Mr.,3,18,n,digit
373,0,male,S,3,19,0,0,8.05,Mr.,3,19,n,digit
374,0,male,C,1,22,0,0,135.6333,Mr.,2,13,n,PC
375,0,female,S,3,3,3,1,21.075,Miss.,3,17,n,digit
376,1,female,C,1,24,1,0,82.1708,Mrs.,4,16,n,PC
377,1,female,S,3,22,0,0,7.25,Miss.,3,22,n,C
378,0,male,C,1,27,0,2,211.5,Mr.,3,18,C,digit
379,0,male,C,3,20,0,0,4.0125,Mr.,2,13,n,digit
380,0,male,S,3,19,0,0,7.775,Mr.,3,20,n,digit
381,1,female,C,1,42,0,0,227.525,Miss.,2,13,n,PC
382,1,female,C,3,1,0,2,15.7417,Miss.,3,10,n,digit
383,0,male,S,3,32,0,0,7.925,Mr.,2,12,n,STON/O 2
384,1,female,S,1,35,1,0,52,Mrs.,4,23,n,digit
385,0,male,S,3,25,0,0,7.8958,Mr.,2,16,n,digit
386,0,male,S,2,18,0,0,73.5,Mr.,3,18,n,SOC
387,0,male,S,3,1,5,2,46.9,Master.,3,20,n,CA
388,1,female,S,2,36,0,0,13,Miss.,2,8,n,digit
389,0,male,Q,3,34,0,0,7.7292,Mr.,2,14,n,digit
390,1,female,C,2,17,0,0,12,Miss.,2,13,n,other
391,1,male,S,1,36,1,2,120,Mr.,3,19,B,digit
392,1,male,S,3,21,0,0,7.7958,Mr.,3,15,n,digit
393,0,male,S,3,28,2,0,7.925,Mr.,3,21,n,digit
394,1,female,C,1,23,1,0,113.275,Miss.,2,14,D,digit
395,1,female,S,3,24,0,2,16.7,Mrs.,3,16,o,other
396,0,male,S,3,22,0,0,7.7958,Mr.,2,13,n,digit
397,0,female,S,3,31,0,0,7.8542,Miss.,2,11,n,digit
398,0,male,S,2,46,0,0,26,Mr.,3,16,n,digit
399,0,male,S,2,23,0,0,10.5,Dr.,2,10,n,digit
400,1,female,S,2,28,0,0,12.65,Mrs.,4,13,n,digit
401,1,male,S,3,39,0,0,7.925,Mr.,2,12,n,STON/O 2
402,0,male,S,3,26,0,0,8.05,Mr.,2,9,n,digit
